2021-08-14 18:48:45.927 +01:00 [INF] Loading Metric Database into memory.
2021-08-14 18:49:09.333 +01:00 [DBG] [23321ms] MetricsStorageService..ctor => .Load metrics Db into cache
2021-08-14 18:49:09.335 +01:00 [INF] Finished loading Metric Database into memory.
2021-08-14 18:49:09.384 +01:00 [INF] SoftwarePerformanceService started
2021-08-14 18:49:09.395 +01:00 [INF] HardwarePerformanceService started
2021-08-14 18:49:09.423 +01:00 [INF] MetricsStorageService started
2021-08-14 18:49:09.436 +01:00 [INF] AffinityApplyer Service started
2021-08-14 18:49:09.599 +01:00 [DBG] [    1ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:09.638 +01:00 [DBG] [   49ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:10.007 +01:00 [DBG] [  383ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:10.012 +01:00 [DBG] [  427ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:10.036 +01:00 [DBG] [  429ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:11.483 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:11.509 +01:00 [DBG] [   26ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:11.596 +01:00 [DBG] [  112ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:11.874 +01:00 [DBG] [  392ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:11.883 +01:00 [DBG] [  400ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:13.029 +01:00 [DBG] [  640ms] SoftwarePerformanceService.InvokeProcessesPerformanceQuery
2021-08-14 18:49:13.471 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:13.506 +01:00 [DBG] [   35ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:13.586 +01:00 [DBG] [  115ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:13.781 +01:00 [DBG] [  310ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:13.837 +01:00 [DBG] [  366ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:14.900 +01:00 [DBG] [  509ms] SoftwarePerformanceService.InvokeProcessesPerformanceQuery
2021-08-14 18:49:15.490 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:15.510 +01:00 [DBG] [   20ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:15.591 +01:00 [DBG] [  101ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:15.780 +01:00 [DBG] [  290ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:15.849 +01:00 [DBG] [  359ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:15.981 +01:00 [DBG] [ 6512ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
2021-08-14 18:49:16.398 +01:00 [DBG] [ 6986ms] SoftwarePerformanceService.GetProcesses
2021-08-14 18:49:16.853 +01:00 [DBG] [  462ms] SoftwarePerformanceService.InvokeProcessesPerformanceQuery
2021-08-14 18:49:17.488 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:17.506 +01:00 [DBG] [   18ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:17.579 +01:00 [DBG] [   90ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:17.759 +01:00 [DBG] [  271ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:17.823 +01:00 [DBG] [  335ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:18.874 +01:00 [DBG] [  483ms] SoftwarePerformanceService.InvokeProcessesPerformanceQuery
2021-08-14 18:49:18.964 +01:00 [DBG] [ 1566ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
2021-08-14 18:49:19.340 +01:00 [DBG] [ 1942ms] SoftwarePerformanceService.GetProcesses
2021-08-14 18:49:19.398 +01:00 [INF] SoftwarePerformanceService Throttler engaged. No external queries for more than 10 seconds
2021-08-14 18:49:19.491 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:19.510 +01:00 [DBG] [   18ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:19.711 +01:00 [DBG] [  220ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:19.926 +01:00 [DBG] [  434ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:19.974 +01:00 [DBG] [  482ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:21.264 +01:00 [DBG] [ 1865ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
2021-08-14 18:49:21.528 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:21.544 +01:00 [DBG] [   15ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:21.742 +01:00 [DBG] [  213ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:21.807 +01:00 [DBG] [  279ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:21.871 +01:00 [DBG] [  343ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:21.886 +01:00 [DBG] [ 2488ms] SoftwarePerformanceService.GetProcesses
2021-08-14 18:49:23.492 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:23.531 +01:00 [DBG] [   39ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:23.594 +01:00 [DBG] [  101ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:23.778 +01:00 [DBG] [  286ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:23.880 +01:00 [DBG] [  387ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:25.496 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:25.515 +01:00 [DBG] [   18ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:25.616 +01:00 [DBG] [  119ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:25.791 +01:00 [DBG] [  295ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:25.869 +01:00 [DBG] [  373ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:27.528 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:27.582 +01:00 [DBG] [   54ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:27.655 +01:00 [DBG] [  126ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:27.847 +01:00 [DBG] [  319ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:27.949 +01:00 [DBG] [  420ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:29.482 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:29.543 +01:00 [DBG] [   61ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:29.756 +01:00 [DBG] [  273ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:29.776 +01:00 [DBG] [  293ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:30.146 +01:00 [DBG] [  664ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:31.495 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:31.514 +01:00 [DBG] [   19ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:31.602 +01:00 [DBG] [  107ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:31.804 +01:00 [DBG] [  309ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:31.881 +01:00 [DBG] [  385ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:33.526 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:33.554 +01:00 [DBG] [   27ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:33.636 +01:00 [DBG] [  109ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:33.909 +01:00 [DBG] [  382ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:34.008 +01:00 [DBG] [  481ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:35.510 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:35.538 +01:00 [DBG] [   29ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:35.656 +01:00 [DBG] [  146ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:35.896 +01:00 [DBG] [  387ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:35.959 +01:00 [DBG] [  449ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:37.544 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:37.568 +01:00 [DBG] [   24ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:37.661 +01:00 [DBG] [  116ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:37.890 +01:00 [DBG] [  346ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:38.034 +01:00 [DBG] [  490ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:38.527 +01:00 [DBG] [ 4109ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
2021-08-14 18:49:38.956 +01:00 [DBG] [ 4538ms] SoftwarePerformanceService.GetProcesses
2021-08-14 18:49:39.697 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:39.719 +01:00 [DBG] [   22ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:39.805 +01:00 [DBG] [  108ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:40.010 +01:00 [DBG] [  313ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:40.147 +01:00 [DBG] [  450ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:41.750 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:41.768 +01:00 [DBG] [   17ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:41.845 +01:00 [DBG] [   94ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:41.978 +01:00 [DBG] [  227ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:42.035 +01:00 [DBG] [  284ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:43.472 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:43.517 +01:00 [DBG] [   45ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:43.590 +01:00 [DBG] [  118ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:43.803 +01:00 [DBG] [  331ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:43.897 +01:00 [DBG] [  425ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:45.560 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:45.587 +01:00 [DBG] [   26ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:45.691 +01:00 [DBG] [  129ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:45.972 +01:00 [DBG] [  411ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:46.227 +01:00 [DBG] [  666ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:47.493 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:47.510 +01:00 [DBG] [   17ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:47.591 +01:00 [DBG] [   97ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:47.802 +01:00 [DBG] [  309ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:47.902 +01:00 [DBG] [  408ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:49.494 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:49.522 +01:00 [DBG] [   28ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:49.758 +01:00 [DBG] [  265ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:49.784 +01:00 [DBG] [  290ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:50.022 +01:00 [DBG] [  527ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:51.480 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:51.502 +01:00 [DBG] [   22ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:51.580 +01:00 [DBG] [  100ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:51.768 +01:00 [DBG] [  287ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:51.801 +01:00 [DBG] [  320ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:53.451 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:53.475 +01:00 [DBG] [   23ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:53.537 +01:00 [DBG] [   86ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:53.740 +01:00 [DBG] [  289ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:53.837 +01:00 [DBG] [  385ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:55.097 +01:00 [DBG] [  682ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
2021-08-14 18:49:55.459 +01:00 [DBG] [ 1044ms] SoftwarePerformanceService.GetProcesses
2021-08-14 18:49:55.460 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:55.479 +01:00 [DBG] [   18ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:55.542 +01:00 [DBG] [   82ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:55.736 +01:00 [DBG] [  276ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:55.919 +01:00 [DBG] [  458ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:57.551 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:57.567 +01:00 [DBG] [   15ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:57.746 +01:00 [DBG] [  195ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:57.830 +01:00 [DBG] [  278ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:57.872 +01:00 [DBG] [  320ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:59.494 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:59.513 +01:00 [DBG] [   18ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:59.708 +01:00 [DBG] [  214ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:59.920 +01:00 [DBG] [  425ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:59.991 +01:00 [DBG] [  496ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:01.621 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:01.657 +01:00 [DBG] [   35ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:01.740 +01:00 [DBG] [  119ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:02.111 +01:00 [DBG] [  489ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:02.483 +01:00 [DBG] [  861ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:03.491 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:03.509 +01:00 [DBG] [   17ms] HardwarePerformanceService.UpdateRamUsage
